Congress,Year,House_Majority,Senate_Majority,Presidential_Party,Presidency,Party_Government
91st,1969,Democrats,Democrats,Republican,Nixon,Divided
91st,1970,Democrats,Democrats,Republican,Nixon,Divided
92nd,1971,Democrats,Democrats,Republican,Nixon,Divided
92nd,1972,Democrats,Democrats,Republican,Nixon / Ford,Divided
93rd,1973,Democrats,Democrats,Republican,Ford,Divided
93rd,1974,Democrats,Democrats,Republican,Ford,Divided
94th,1975,Democrats,Democrats,Republican,Ford,Divided
94th,1976,Democrats,Democrats,Republican,Ford,Divided
95th,1977,Democrats,Democrats,Democrat,Carter,Unified Dem
95th,1978,Democrats,Democrats,Democrat,Carter,Unified Dem
96th,1979,Democrats,Democrats,Democrat,Carter,Unified Dem
96th,1980,Democrats,Democrats,Democrat,Carter,Unified Dem
97th,1981,Democrats,Republicans,Republican,Reagan,Divided
97th,1982,Democrats,Republicans,Republican,Reagan,Divided
98th,1983,Democrats,Republicans,Republican,Reagan,Divided
98th,1984,Democrats,Democrats,Republican,Reagan,Divided
99th,1985,Democrats,Republicans,Republican,Reagan,Divided
99th,1986,Democrats,Republicans,Republican,Reagan,Divided
100th,1987,Democrats,Republicans,Republican,Reagan,Divided
100th,1988,Democrats,Democrats,Republican,Reagan,Divided
101st,1989,Democrats,Democrats,Republican,G.H.W. Bush,Divided
101st,1990,Democrats,Democrats,Republican,G.H.W. Bush,Divided
102nd,1991,Democrats,Democrats,Republican,G.H.W. Bush,Divided
102nd,1992,Democrats,Democrats,Republican,G.H.W. Bush,Divided
103rd,1993,Democrats,Democrats,Democrat,Clinton,Unified Dem
103rd,1994,Democrats,Democrats,Democrat,Clinton,Unified Dem
104th,1995,Republicans,Republicans,Democrat,Clinton,Divided
104th,1996,Republicans,Republicans,Democrat,Clinton,Divided
105th,1997,Republicans,Republicans,Democrat,Clinton,Divided
105th,1998,Republicans,Republicans,Democrat,Clinton,Divided
106th,1999,Republicans,Republicans,Democrat,Clinton,Divided
106th,2000,Republicans,Republicans,Democrat,Clinton,Divided
107th,2001,Republicans,Republicans / Democrats,Republican,G.W. Bush,Unified / Divided
107th,2002,Republicans,Republicans / Democrats,Republican,G.W. Bush,Unified / Divided
108th,2003,Republicans,Republicans,Republican,G.W. Bush,Unified Rep
108th,2004,Republicans,Republicans,Republican,G.W. Bush,Unified Rep
109th,2005,Republicans,Republicans,Republican,G.W. Bush,Unified Rep
109th,2006,Republicans,Republicans,Republican,G.W. Bush,Unified Rep
110th,2007,Democrats,Democrats,Republican,G.W. Bush,Divided
110th,2008,Democrats,Democrats,Republican,G.W. Bush,Divided
111th,2009,Democrats,Democrats,Democrat,Obama,Unified Dem
111th,2010,Democrats,Democrats,Democrat,Obama,Unified Dem
112th,2011,Republicans,Democrats,Democrat,Obama,Divided
112th,2012,Republicans,Democrats,Democrat,Obama,Divided
113th,2013,Republicans,Democrats,Democrat,Obama,Divided
113th,2014,Republicans,Democrats,Democrat,Obama,Divided
114th,2015,Republicans,Republicans,Democrat,Obama,Divided
114th,2016,Republicans,Republicans,Democrat,Obama,Divided
115th,2017,Republicans,Republicans,Republican,Trump,Unified Rep
116th,2018,Republicans,Republicans,Republican,Trump,Unified Rep
116th,2019,Republicans,Republicans,Republican,Trump,Unified Rep
